# started 2026-09-21 14:18:28  level/status: level=3 held=yes cfb=0 prime=3513600 junc=31C left=常开 pids=12628 26316 7390 8945 
# p6max=3513600 p0max=2918400 cfb=0
# node=0:2918400 1:2918400 2:2918400 3:2918400 4:2918400 5:2918400 6:3513600 7:3513600 
ts|c0|c1|c2|c3|c4|c5|c6|c7|p0max|p6max|junc|shell|cfb|cool
1789993212|960000|960000|2918400|2918400|2918400|2918400|3513600|3513600|2918400|3513600|70600|26700|0|no
1789993213|960000|960000|1152000|960000|2918400|2918400|3513600|3513600|2918400|3513600|74500|26600|0|no
1789993213|2918400|2918400|2918400|2227200|2227200|2227200|3513600|3513600|2918400|3513600|75300|26600|0|no
1789993214|960000|1363200|1363200|1555200|1555200|2918400|3513600|3513600|2918400|3513600|71400|26600|0|no
1789993214|1363200|2918400|2918400|2918400|2918400|2918400|3513600|3513600|2918400|3513600|75300|26600|0|no
1789993215|960000|748800|748800|960000|1152000|1152000|3513600|3513600|2918400|3513600|54400|26600|0|no
1789993216|2918400|2918400|2745600|2745600|2745600|2918400|1017600|1017600|2918400|3513600|41300|26600|0|no
1789993216|2400000|2400000|2400000|2918400|2918400|2918400|1017600|1017600|2918400|3513600|39700|26600|0|no
1789993217|2400000|2400000|2918400|2400000|2745600|2745600|1017600|1017600|2918400|3513600|38200|26600|0|no
1789993218|960000|960000|960000|960000|960000|1152000|1017600|1017600|2918400|3513600|37800|26500|0|no
1789993218|2400000|2400000|2227200|2227200|2227200|1996800|1017600|1017600|2918400|3513600|37400|26500|0|no
1789993219|1785600|1785600|1785600|1785600|2227200|2227200|1017600|1017600|2918400|3513600|37400|26500|0|no
1789993220|2400000|2745600|2918400|2745600|2745600|2745600|1017600|1017600|2918400|3513600|37000|26500|0|no
1789993220|2400000|2400000|2400000|1785600|1785600|1996800|3513600|3513600|2918400|3513600|59400|26500|0|no
1789993221|1152000|2918400|2918400|2918400|2400000|2400000|3513600|3513600|2918400|3513600|66400|26500|0|no
1789993222|1785600|1785600|1555200|1555200|1363200|1363200|3513600|3513600|2918400|3513600|59800|26500|0|no
1789993222|1152000|1152000|1152000|1152000|1152000|1363200|3513600|3513600|2918400|3513600|68700|26500|0|no
1789993223|2918400|2918400|2918400|1363200|1363200|1363200|3513600|3513600|2918400|3513600|62100|26500|0|no
1789993223|1152000|1152000|2918400|2918400|2918400|2918400|3513600|3513600|2918400|3513600|66400|26500|0|no
1789993224|1152000|2918400|2918400|2918400|1555200|1555200|3513600|3513600|2918400|3513600|69900|26500|0|no
1789993225|2918400|2918400|1996800|1996800|1996800|1555200|3513600|3513600|2918400|3513600|62500|26500|0|no
1789993225|1152000|2918400|2918400|2918400|1785600|1785600|3513600|3513600|2918400|3513600|69100|26500|0|no
1789993226|1152000|1152000|1152000|1152000|2918400|2918400|3513600|3513600|2918400|3513600|69900|26500|0|no
1789993227|2918400|2918400|2918400|2400000|2400000|2400000|3513600|3513600|2918400|3513600|66400|26500|0|no
1789993227|2918400|2918400|2918400|1785600|1996800|1996800|3513600|3513600|2918400|3513600|70600|26500|0|no
1789993228|1152000|1152000|1152000|1152000|2918400|2918400|3513600|3513600|2918400|3513600|63700|26400|0|no
