run_id,block,arm,uclamp_min_arm,cycle_id,req_min_at_wake,eff_min_at_wake,eff_active_at_wake,eff_bucket_at_wake,req_min_at_place,eff_min_at_place,eff_active_at_place,eff_bucket_at_place,eff_max_at_place,start_cpu,candidate_mask,min_util,most_spare_cap,order_index,end_index,skip,prev_cpu,util_raw,best_energy_cpu,fastpath,demand_raw,pred_demand,misfit,selected_cpu,first_run_cpu,wake_latency_us,initial_junction_c,peak_junction_c
s2b-r07,2,A,0,s2b-r07-230,0,0,0,0,0,0,1,0,1024,0,32,108,2,0,0,-1,1,108,5,0,1688889,108,0,5,5,118.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-231,0,0,0,0,0,0,1,0,1024,0,32,72,-1,0,0,-1,5,72,5,2,1131169,40,0,5,5,109.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-232,0,0,0,0,0,0,1,0,1024,0,8,98,-1,0,0,-1,3,98,3,2,1538757,98,0,3,3,63.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-233,0,0,0,0,0,0,1,0,1024,0,16,124,4,0,0,-1,3,124,3,0,1945431,124,0,0,0,163.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-234,0,0,0,0,0,0,1,0,1024,0,1,155,-1,0,0,-1,0,155,0,2,2436907,155,0,0,0,40.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-235,0,0,0,0,0,0,1,0,1024,0,16,94,0,0,0,-1,5,94,4,0,1481283,15,0,4,4,57.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-236,0,0,0,0,0,0,1,0,1024,0,16,99,-1,0,0,-1,4,99,4,2,1549671,31,0,4,4,56.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-237,0,0,0,0,0,0,1,0,1024,0,2,156,-1,0,0,-1,1,156,1,2,2443319,156,0,1,1,19.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-238,0,0,0,0,0,0,1,0,1024,0,2,146,-1,0,0,-1,1,146,1,2,2285790,146,0,1,1,38.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-239,0,0,0,0,0,0,1,0,1024,0,2,96,-1,0,0,-1,1,96,1,2,1514596,82,0,1,1,98.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-240,0,0,0,0,0,0,1,0,1024,0,32,60,4,0,0,-1,1,60,5,0,951287,15,0,5,5,86.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-241,0,0,0,0,0,0,1,0,1024,0,32,79,-1,0,0,-1,5,79,5,2,1242069,79,0,5,5,67.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-242,0,0,0,0,0,0,1,0,1024,0,2,137,1,0,0,-1,5,137,5,0,2142656,137,0,5,0,62.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-243,0,0,0,0,0,0,1,0,1024,0,32,158,-1,0,0,-1,5,158,5,2,2472351,158,0,5,5,40.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-244,0,0,0,0,0,0,1,0,1024,0,2,114,1,0,0,-1,5,114,1,0,1781382,114,0,1,1,27.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-245,0,0,0,0,0,0,1,0,1024,0,16,157,-1,0,0,-1,4,157,4,2,2463276,158,0,4,4,15.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-246,0,0,0,0,0,0,1,0,1024,0,16,147,-1,0,0,-1,4,147,4,2,2311600,147,0,4,4,60.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-247,0,0,0,0,0,0,1,0,1024,0,16,91,-1,0,0,-1,4,91,4,2,1429311,88,0,4,4,113.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-248,0,0,0,0,0,0,1,0,1024,0,2,63,-1,0,0,-1,1,63,1,2,998018,10,0,1,1,61.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-249,0,0,0,0,0,0,1,0,1024,0,16,76,4,0,0,-1,0,76,4,0,1193366,76,0,4,4,153.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-250,0,0,0,0,0,0,1,0,1024,0,16,106,-1,0,0,-1,4,106,4,2,1661680,106,0,4,4,73.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-251,0,0,0,0,0,0,1,0,1024,0,16,61,-1,0,0,-1,4,61,4,2,957182,17,0,4,4,65.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-252,0,0,0,0,0,0,1,0,1024,0,32,61,5,0,0,-1,4,61,5,0,953198,17,0,5,5,57.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-253,0,0,0,0,0,0,1,0,1024,0,32,62,-1,0,0,-1,5,62,5,2,978815,1,0,5,5,31.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-254,0,0,0,0,0,0,1,0,1024,0,2,153,-1,0,0,-1,1,153,1,2,2405236,153,0,1,1,22.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-255,0,0,0,0,0,0,1,0,1024,0,2,91,-1,0,0,-1,1,91,1,2,1431306,81,0,1,1,41.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-256,0,0,0,0,0,0,1,0,1024,0,1,151,0,0,0,-1,1,151,0,0,2368731,151,0,0,4,473.0,42.8,48.2
s2b-r07,2,A,0,s2b-r07-257,0,0,0,0,0,0,1,0,1024,0,2,157,-1,0,0,-1,1,157,1,2,2462513,157,0,1,1,104.0,42.8,48.2
