# extreme ceiling now: EXTREME_P6=3801600
# gate: EXTREME_GATE=95000
ts|state|p6cur|p7cur|p0cur|p6max|junc|cooling
1787163825|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|28900|no
1787163826|level=2 held=yes cfb=0 prime|1017600|1017600|1785600|3801600|29300|no
1787163827|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29300|no
1787163827|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29300|no
1787163828|level=2 held=yes cfb=0 prime|1017600|1017600|2227200|3801600|29300|no
1787163828|level=2 held=yes cfb=0 prime|1017600|1017600|1785600|3801600|28900|no
1787163829|level=2 held=yes cfb=0 prime|1017600|1017600|2745600|3801600|28900|no
1787163829|level=2 held=yes cfb=0 prime|1017600|1017600|1996800|3801600|28900|no
1787163830|level=2 held=yes cfb=0 prime|1017600|1017600|2227200|3801600|28900|no
1787163831|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29700|no
1787163831|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|30100|no
1787163832|level=2 held=yes cfb=0 prime|1017600|1017600|2745600|3801600|29700|no
1787163832|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29300|no
1787163833|level=2 held=yes cfb=0 prime|1017600|1017600|1555200|3801600|29300|no
1787163833|level=2 held=yes cfb=0 prime|1017600|1017600|1785600|3801600|29300|no
1787163834|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29700|no
1787163835|level=2 held=yes cfb=0 prime|1017600|1017600|2918400|3801600|32400|no
1787163835|level=2 held=yes cfb=0 prime|1017600|1017600|1785600|3801600|29700|no
1787163836|level=2 held=yes cfb=0 prime|1017600|1017600|2227200|3801600|29300|no
1787163836|level=2 held=yes cfb=0 prime|1017600|1017600|2227200|3801600|29300|no
1787163837|level=2 held=yes cfb=0 prime|1017600|1017600|1996800|3801600|29300|no
1787163837|level=2 held=yes cfb=0 prime|1017600|1017600|1785600|3801600|29300|no
1787163838|level=2 held=yes cfb=0 prime|1017600|1017600|1996800|3801600|29300|no
1787163839|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29700|no
1787163839|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29700|no
1787163840|level=2 held=yes cfb=0 prime|1017600|1017600|2745600|3801600|29300|no
1787163840|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29300|no
1787163841|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29300|no
1787163841|level=2 held=yes cfb=0 prime|1017600|1017600|1785600|3801600|29300|no
1787163842|level=2 held=yes cfb=0 prime|1017600|1017600|2918400|3801600|29300|no
1787163843|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29300|no
1787163843|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29300|no
1787163844|level=2 held=yes cfb=0 prime|1017600|2841600|2400000|3801600|31600|no
1787163844|level=2 held=yes cfb=0 prime|1017600|1017600|1996800|3801600|29300|no
1787163845|level=2 held=yes cfb=0 prime|1017600|1017600|1555200|3801600|28900|no
1787163845|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29300|no
1787163846|level=2 held=yes cfb=0 prime|1017600|1017600|1785600|3801600|28900|no
1787163847|level=2 held=yes cfb=0 prime|1017600|1017600|2745600|3801600|28900|no
1787163847|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29300|no
1787163848|level=2 held=yes cfb=0 prime|1017600|1017600|1785600|3801600|28900|no
1787163848|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|28900|no
1787163849|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29300|no
1787163850|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29300|no
1787163850|level=2 held=yes cfb=0 prime|1017600|1017600|2227200|3801600|28900|no
1787163851|level=2 held=yes cfb=0 prime|1017600|1017600|1996800|3801600|28900|no
1787163851|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|28900|no
1787163852|level=2 held=yes cfb=0 prime|1017600|1017600|2745600|3801600|28900|no
1787163852|level=2 held=yes cfb=0 prime|1017600|1017600|2227200|3801600|29300|no
1787163853|level=2 held=yes cfb=0 prime|1017600|1017600|1996800|3801600|28900|no
1787163854|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|28900|no
1787163854|level=2 held=yes cfb=0 prime|1017600|1017600|1785600|3801600|28900|no
1787163855|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29300|no
1787163855|level=2 held=yes cfb=0 prime|1017600|1017600|1996800|3801600|28900|no
1787163856|level=2 held=yes cfb=0 prime|1017600|1017600|1785600|3801600|28900|no
1787163856|level=2 held=yes cfb=0 prime|3801600|3801600|2918400|3801600|44400|no
1787163857|level=2 held=no cfb=0 prime=|3801600|3801600|3072000|4320000|44400|no
1787163858|level=2 held=no cfb=0 prime=|4320000|4320000|3532800|4320000|46700|no
