run_id,block,arm,cycle_id,requested_min,effective_min,pred_demand,start_cpu,candidate_mask,misfit,selected_cpu,first_run_cpu,wake_latency_us,initial_junction_c,peak_junction_c
s2b-r01,1,A,s2b-r01-223,0,0,83,0,2,0,1,1,255.0,44.8,50.5
s2b-r01,1,A,s2b-r01-224,0,0,83,0,16,0,4,4,83.0,44.8,50.5
s2b-r01,1,A,s2b-r01-225,0,0,80,0,2,0,1,1,75.0,44.8,50.5
s2b-r01,1,A,s2b-r01-226,0,0,104,0,2,0,1,1,64.0,44.8,50.5
s2b-r01,1,A,s2b-r01-227,0,0,148,0,2,0,1,1,360.0,44.8,50.5
s2b-r01,1,A,s2b-r01-228,0,0,121,0,16,0,4,4,26.0,44.8,50.5
s2b-r01,1,A,s2b-r01-229,0,0,149,0,2,0,1,1,43.0,44.8,50.5
s2b-r01,1,A,s2b-r01-230,0,0,149,0,4,0,2,2,31.0,44.8,50.5
s2b-r01,1,A,s2b-r01-231,0,0,199,0,1,0,0,0,38.0,44.8,50.5
s2b-r01,1,A,s2b-r01-232,0,0,154,0,1,0,0,0,22.0,44.8,50.5
s2b-r01,1,A,s2b-r01-233,0,0,154,0,1,0,0,0,31.0,44.8,50.5
s2b-r01,1,A,s2b-r01-234,0,0,18,0,2,0,1,1,80.0,44.8,50.5
s2b-r01,1,A,s2b-r01-235,0,0,83,0,32,0,3,1,109.0,44.8,50.5
s2b-r01,1,A,s2b-r01-236,0,0,101,0,32,0,5,5,44.0,44.8,50.5
s2b-r01,1,A,s2b-r01-237,0,0,92,0,32,0,5,5,54.0,44.8,50.5
s2b-r01,1,A,s2b-r01-238,0,0,149,0,32,0,5,5,54.0,44.8,50.5
s2b-r01,1,A,s2b-r01-239,0,0,150,0,16,0,4,4,48.0,44.8,50.5
s2b-r01,1,A,s2b-r01-240,0,0,158,0,1,0,0,0,16.0,44.8,50.5
s2b-r01,1,A,s2b-r01-241,0,0,153,0,1,0,0,0,19.0,44.8,50.5
s2b-r01,1,A,s2b-r01-242,0,0,158,0,2,0,1,1,171.0,44.8,50.5
s2b-r01,1,A,s2b-r01-243,0,0,104,0,1,0,0,0,96.0,44.8,50.5
s2b-r01,1,A,s2b-r01-244,0,0,115,0,32,0,5,5,78.0,44.8,50.5
s2b-r01,1,A,s2b-r01-245,0,0,115,0,32,0,5,5,101.0,44.8,50.5
s2b-r01,1,A,s2b-r01-246,0,0,92,0,1,0,0,0,64.0,44.8,50.5
s2b-r01,1,A,s2b-r01-247,0,0,208,0,1,0,0,0,19.0,44.8,50.5
s2b-r01,1,A,s2b-r01-248,0,0,132,0,1,0,0,0,24.0,44.8,50.5
s2b-r01,1,A,s2b-r01-249,0,0,41,0,32,0,5,5,70.0,44.8,50.5
s2b-r01,1,A,s2b-r01-250,0,0,57,0,1,0,0,0,44.0,44.8,50.5
s2b-r01,1,A,s2b-r01-251,0,0,5,0,2,0,1,1,29.0,44.8,50.5
s2b-r01,1,A,s2b-r01-252,0,0,155,0,16,0,4,4,14.0,44.8,50.5
s2b-r01,1,A,s2b-r01-253,0,0,35,0,16,0,4,4,85.0,44.8,50.5
s2b-r01,1,A,s2b-r01-254,0,0,176,0,4,0,2,2,119.0,44.8,50.5
s2b-r01,1,A,s2b-r01-255,0,0,119,0,4,0,2,2,39.0,44.8,50.5
s2b-r01,1,A,s2b-r01-256,0,0,176,0,4,0,2,2,101.0,44.8,50.5
s2b-r01,1,A,s2b-r01-257,0,0,111,0,4,0,2,2,106.0,44.8,50.5
s2b-r01,1,A,s2b-r01-258,0,0,111,0,32,0,5,5,121.0,44.8,50.5
s2b-r01,1,A,s2b-r01-259,0,0,125,0,32,0,5,5,50.0,44.8,50.5
s2b-r01,1,A,s2b-r01-260,0,0,125,0,1,0,0,0,30.0,44.8,50.5
s2b-r01,1,A,s2b-r01-261,0,0,157,0,16,0,4,4,39.0,44.8,50.5
s2b-r01,1,A,s2b-r01-262,0,0,157,0,16,0,4,4,28.0,44.8,50.5
s2b-r01,1,A,s2b-r01-263,0,0,80,0,16,0,4,4,63.0,44.8,50.5
s2b-r01,1,A,s2b-r01-264,0,0,80,0,16,0,4,4,79.0,44.8,50.5
s2b-r01,1,A,s2b-r01-265,0,0,87,0,32,0,5,5,44.0,44.8,50.5
s2b-r01,1,A,s2b-r01-266,0,0,102,0,32,0,5,5,48.0,44.8,50.5
s2b-r01,1,A,s2b-r01-267,0,0,90,0,32,0,5,5,106.0,44.8,50.5
s2b-r01,1,A,s2b-r01-268,0,0,124,0,32,0,5,5,70.0,44.8,50.5
s2b-r01,1,A,s2b-r01-269,0,0,64,0,2,0,1,1,40.0,44.8,50.5
s2b-r01,1,A,s2b-r01-270,0,0,155,0,16,0,4,4,65.0,44.8,50.5
s2b-r01,1,A,s2b-r01-271,0,0,149,0,16,0,4,4,22.0,44.8,50.5
s2b-r01,1,A,s2b-r01-272,0,0,149,0,16,0,4,4,106.0,44.8,50.5
s2b-r01,1,A,s2b-r01-273,0,0,95,0,32,0,5,5,68.0,44.8,50.5
s2b-r01,1,A,s2b-r01-274,0,0,125,0,2,0,1,1,43.0,44.8,50.5
s2b-r01,1,A,s2b-r01-275,0,0,125,0,1,0,1,1,118.0,44.8,50.5
s2b-r01,1,A,s2b-r01-276,0,0,32,0,16,0,4,4,99.0,44.8,50.5
s2b-r01,1,A,s2b-r01-277,0,0,85,0,32,0,5,5,76.0,44.8,50.5
s2b-r01,1,A,s2b-r01-278,0,0,93,0,32,0,5,5,110.0,44.8,50.5
s2b-r01,1,A,s2b-r01-279,0,0,29,0,1,0,0,0,53.0,44.8,50.5
s2b-r01,1,A,s2b-r01-280,0,0,38,0,16,0,4,4,28.0,44.8,50.5
s2b-r01,1,A,s2b-r01-281,0,0,159,0,16,0,4,4,26.0,44.8,50.5
